split,version,camera,img_path,W,H,image_id,sd_token,class_10,class_id,x0,y0,x1,y1,area,tightened,_w,_h,_area,_size_bucket
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,123,412,135,426,168.0,0,12,14,168,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,pedestrian,5,868,412,910,544,5544.0,0,42,132,5544,M
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,159,415,171,430,180.0,0,12,15,180,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,224,417,240,433,256.0,0,16,16,256,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,206,415,224,432,306.0,0,18,17,306,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,car,0,1063,432,1230,492,10020.0,0,167,60,10020,L
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,147,414,159,431,204.0,0,12,17,204,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,85,414,95,424,100.0,0,10,10,100,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,341,422,358,444,374.0,0,17,22,374,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,102,414,113,425,121.0,0,11,11,121,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,376,423,403,447,648.0,0,27,24,648,S
train,v1.0-train,CAM_FRONT_LEFT,data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,1600,900,391,01609174b8504cc9a757f6ac54a4c6a7,barrier,9,938,445,1021,490,3735.0,0,83,45,3735,M
