src,dest,status
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n013-2018-08-21-11-46-25+0800__CAM_FRONT__1534823541612407.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n013-2018-08-21-11-46-25+0800__CAM_FRONT__1534823541612407.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n010-2018-08-27-12-00-23+0800__CAM_FRONT__1535342723862488.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n010-2018-08-27-12-00-23+0800__CAM_FRONT__1535342723862488.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n013-2018-08-16-16-15-38+0800__CAM_BACK__1534408365537005.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n013-2018-08-16-16-15-38+0800__CAM_BACK__1534408365537005.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK/n010-2018-08-27-14-55-04+0800__CAM_BACK__1535353126637257.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK/n010-2018-08-27-14-55-04+0800__CAM_BACK__1535353126637257.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382417053889.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382417053889.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_LEFT/n003-2018-01-08-11-30-34+0800__CAM_FRONT_LEFT__1515382427054255.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n009-2018-07-06-14-10-27-0400__CAM_FRONT_RIGHT__1530900939870283.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n009-2018-07-06-14-10-27-0400__CAM_FRONT_RIGHT__1530900939870283.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT_RIGHT/n013-2018-08-02-16-01-31+0800__CAM_FRONT_RIGHT__1533197482020176.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT_RIGHT/n013-2018-08-02-16-01-31+0800__CAM_FRONT_RIGHT__1533197482020176.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n009-2018-07-03-14-56-44-0400__CAM_BACK_LEFT__1530645121897158.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n009-2018-07-03-14-56-44-0400__CAM_BACK_LEFT__1530645121897158.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_LEFT/n013-2018-08-17-11-41-53+0800__CAM_BACK_LEFT__1534477849797155.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_LEFT/n013-2018-08-17-11-41-53+0800__CAM_BACK_LEFT__1534477849797155.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n003-2018-01-03-12-03-23+0800__CAM_BACK_RIGHT__1514952546392110.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n003-2018-01-03-12-03-23+0800__CAM_BACK_RIGHT__1514952546392110.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_BACK_RIGHT/n013-2018-08-23-10-53-46+0800__CAM_BACK_RIGHT__1534993661778054.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_BACK_RIGHT/n013-2018-08-23-10-53-46+0800__CAM_BACK_RIGHT__1534993661778054.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n013-2018-08-17-16-34-06+0800__CAM_FRONT__1534495088612407.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n013-2018-08-17-16-34-06+0800__CAM_FRONT__1534495088612407.jpg,COPIED
/home/shoo/personal/dlDev/school/classificationProject/data/nuimages/samples/CAM_FRONT/n010-2018-07-03-16-05-53+0800__CAM_FRONT__1530605708862488.jpg,/home/shoo/personal/dlDev/school/classificationProject/meta/al/exemplar/data/nuimages/samples/CAM_FRONT/n010-2018-07-03-16-05-53+0800__CAM_FRONT__1530605708862488.jpg,COPIED
